date,location,title,description,link,current
"3-4 April, 2025",Birkbeck Uni (London),Eye-tracking Workshop for Developmental Scientist,"Our first eye-tracking workshop designed to guide developmental researchers through the complete workflow, from collecting eye-tracking data with infants and children to preprocessing and analyzing gaze data",,FALSE
"12-13 Jan, 2026",Chieti Uni,A Practical Introduction to Eye-tracking for Developmental Science,Practical workshop focused on designing and implementing developmental eye-tracking studies. Features the first introduction of the DeToX Python package for streamlined data collection with Tobii eye trackers,https://devstart.org/Workshops/Workshops/2026_Chieti/index.html,FALSE
01-15-26,BCCCD (Budapest),Hands-on Generalized Mixed-Effects Models,Pre-BCCCD 2026 conference workshop providing hands-on training in generalized mixed-effects models for analyzing developmental and longitudinal data,https://devstart.org/Workshops/Workshops/2026_BCCCD/index.html,FALSE
06-07-26,ICIS (Panama),From Screen to Scene: Shared Principles in Screen-Based and Head-Mounted Eye-Tracking,"Half-day workshop comparing screen-based and head-mounted eye-tracking in infant research, focusing on shared analytical principles, system choice, AOIs, time windows, preprocessing strategies, and practical examples using real datasets and analysis scripts.",https://devstart.org/Workshops/Workshops/2026_ICIS/index.html,1
